Date,Price,Open,High,Low,Vol.,Change %
6/1/2024,601.8,594,608.2,593.2,156.40K,1.35%
5/31/2024,593.8,595,598.9,590.1,168.61K,-0.20%
5/30/2024,595,595.7,601.8,586.6,225.46K,-0.10%
5/29/2024,595.6,601.9,603.6,593.3,212.71K,-1.01%
5/28/2024,601.7,603.8,605.5,594.3,284.87K,-0.35%
5/27/2024,603.8,600.5,614,599.7,229.31K,0.58%
5/26/2024,600.3,602.3,605.1,598.6,122.97K,-0.35%
5/25/2024,602.4,600,606.5,599.5,121.54K,0.35%
5/24/2024,600.3,598.8,605.3,588.4,251.97K,0.15%
5/23/2024,599.4,614.8,616.9,581.9,607.67K,-2.50%
5/22/2024,614.8,618.9,626,610.1,404.94K,-0.61%
5/21/2024,618.6,600.3,630,594,1.02M,3.12%
5/20/2024,599.9,574.5,601.9,569.4,468.84K,4.40%
5/19/2024,574.6,580.6,581.8,572.1,142.14K,-0.98%
5/18/2024,580.3,580.4,581.9,574.3,168.07K,-0.12%
5/17/2024,581,569.1,584.5,568.8,236.91K,2.07%
5/16/2024,569.2,581.4,586.4,565.4,412.21K,-2.01%
5/15/2024,580.9,567.3,587.2,561.2,402.81K,2.43%
5/14/2024,567.1,591.3,593.1,562.6,453.29K,-4.16%
5/13/2024,591.7,595.1,598,585.7,389.81K,-0.52%
5/12/2024,594.8,592.4,599.4,587.6,191.19K,0.44%
5/11/2024,592.2,585.5,594.4,581.5,210.74K,1.13%
5/10/2024,585.6,597,597,582.1,296.21K,-1.86%
5/9/2024,596.7,588.3,603.3,586.7,464.85K,1.38%
5/8/2024,588.6,576.5,589.8,575.4,297.29K,1.98%
5/7/2024,577.2,588.4,600.1,576.3,288.94K,-1.87%
5/6/2024,588.2,592.2,601.9,583.3,278.68K,-0.61%
5/5/2024,591.8,585.7,594.9,579.8,180.48K,1.06%
5/4/2024,585.6,587,593.4,582.8,197.21K,-0.20%
5/3/2024,586.8,560.4,589.7,559.1,342.85K,4.71%
5/2/2024,560.4,561.7,565.7,542.7,360.25K,-0.27%
5/1/2024,561.9,578,580.2,537.5,669.02K,-2.85%
4/30/2024,578.4,593.1,603.8,556,766.51K,-2.41%
4/29/2024,592.7,600,602.8,582.3,330.27K,-1.28%
4/28/2024,600.4,596.5,608.2,596.3,258.03K,0.70%
4/27/2024,596.2,597.8,599.5,586,268.80K,-0.28%
4/26/2024,597.9,614.1,615,597.2,302.13K,-2.53%
4/25/2024,613.4,608.8,617.9,601.3,453.07K,0.77%
4/24/2024,608.7,606.2,618.4,593.6,657.28K,0.41%
4/23/2024,606.2,604.1,617.3,598.9,556.54K,0.28%
4/22/2024,604.5,579.6,608.4,578.5,522.87K,4.30%
4/21/2024,579.6,570.7,582.2,566.6,277.78K,1.54%
4/20/2024,570.8,554.3,574.1,549.2,242.25K,3.01%
4/19/2024,554.1,552,564.2,525.9,545.41K,0.36%
4/18/2024,552.1,534.2,555.5,527.2,589.79K,3.33%
4/17/2024,534.3,537.4,547.7,513.4,657.78K,-0.60%
4/16/2024,537.5,551.8,553.9,523.3,624.00K,-2.70%
4/15/2024,552.4,565.2,585.4,545.7,698.35K,-2.49%
4/14/2024,566.5,552.6,570.1,536.7,965.86K,2.44%
4/13/2024,553,594.3,600.1,510.8,1.76M,-7.17%
4/12/2024,595.7,604.7,628.4,575,1.52M,-1.47%
4/11/2024,604.6,609.7,617.9,592.1,579.89K,-0.85%
4/10/2024,609.8,580.4,610.2,573.7,815.95K,5.05%
4/9/2024,580.5,586.4,589.9,571.9,596.27K,-0.99%
4/8/2024,586.3,583.9,600.9,577.8,483.57K,0.39%
4/7/2024,584,585.6,590.8,578.5,263.79K,-0.29%
4/6/2024,585.7,577.7,590.7,575.4,227.02K,1.35%
4/5/2024,577.9,585.2,591.3,564.6,634.32K,-1.26%
4/4/2024,585.3,561.5,597.6,560.9,879.50K,4.28%
4/3/2024,561.3,551.2,567.8,539.6,683.93K,1.91%
4/2/2024,550.8,575.9,578.1,546.3,998.53K,-4.39%
4/1/2024,576.1,606.7,607.6,569.1,720.10K,-5.07%
3/31/2024,606.9,600.6,608.7,600.6,325.23K,1.02%
3/30/2024,600.8,612.6,612.6,597,501.22K,-1.91%
3/29/2024,612.5,583.5,619.9,582.2,1.04M,5.04%
3/28/2024,583.1,574.5,591.5,574.5,504.05K,1.55%
3/27/2024,574.2,580.5,585.2,564.4,531.66K,-1.09%
3/26/2024,580.5,587.4,597,571.9,569.36K,-1.12%
3/25/2024,587.1,567.8,597.7,565,802.71K,3.42%
3/24/2024,567.7,551.8,572.8,549,443.52K,2.83%
3/23/2024,552.1,553,567.7,544.4,608.84K,-0.25%
3/22/2024,553.5,553.6,587.7,535.6,1.18M,-0.05%
3/21/2024,553.8,556.6,570.8,541,953.91K,-0.50%
3/20/2024,556.6,507.4,558.9,500.5,1.43M,9.55%
3/19/2024,508.1,555.1,560.3,498.6,2.55M,-8.53%
3/18/2024,555.5,570.8,586.9,540.5,2.28M,-2.83%
3/17/2024,571.7,578.6,590.1,550.2,1.71M,-0.83%
3/16/2024,576.5,632.1,642,567.9,1.81M,-8.80%
3/15/2024,632.1,603.4,634.5,548.4,3.06M,4.77%
3/14/2024,603.3,631.2,631.4,565.8,2.12M,-4.30%
3/13/2024,630.4,537.5,632.6,531.8,2.53M,17.24%
3/12/2024,537.7,522.9,547.4,520.3,1.93M,2.99%
3/11/2024,522.1,529,533,507.3,1.61M,-1.32%
3/10/2024,529.1,488.3,536.6,485,1.94M,8.36%
3/9/2024,488.3,485.8,493.7,481.2,855.37K,0.37%
3/8/2024,486.5,474.6,489.4,463.8,1.66M,2.53%
3/7/2024,474.5,429.3,476.5,423.4,1.67M,10.55%
3/6/2024,429.2,394.3,434.3,385.9,1.81M,8.85%
3/5/2024,394.3,418.5,427.1,362.1,2.07M,-5.76%
3/4/2024,418.4,414.5,423.4,410.7,1.04M,0.89%
3/3/2024,414.7,410.7,416.5,402.9,838.21K,0.92%
3/2/2024,410.9,407.5,414.7,405.9,590.02K,0.88%
3/1/2024,407.3,399.7,408.5,399,586.64K,2.05%
2/29/2024,399.1,414.9,419.4,391.2,1.15M,-3.74%
2/28/2024,414.6,394.9,426.8,394.3,1.35M,5.07%
2/27/2024,394.6,401.6,403.7,390.1,915.87K,-1.74%
2/26/2024,401.6,388.6,404.5,382.1,1.20M,3.37%
2/25/2024,388.5,381.9,390.8,378,642.98K,1.78%
2/24/2024,381.7,375.7,383.3,371.8,445.54K,1.65%
2/23/2024,375.5,382.9,385.7,369.2,1.03M,-1.88%
2/22/2024,382.7,379.5,387.1,374,1.41M,0.92%
2/21/2024,379.2,354.6,379.3,351,1.70M,6.97%
2/20/2024,354.5,351.7,360.8,345.3,972.81K,0.80%
2/19/2024,351.7,349.7,356.1,349.4,831.30K,0.60%
2/18/2024,349.6,352.8,358.1,349.3,495.41K,-0.94%
2/17/2024,352.9,360.4,363.4,348.4,631.14K,-2.14%
2/16/2024,360.6,354.4,365.9,351.2,1.06M,1.81%
2/15/2024,354.2,333.8,366.1,333.3,1.36M,6.08%
2/14/2024,333.9,324.7,334.5,323.5,452.47K,2.83%
2/13/2024,324.7,327.8,329.1,319.3,443.85K,-0.98%
2/12/2024,327.9,320.7,331.4,315.7,576.67K,2.25%
2/11/2024,320.7,323,324.8,320.1,280.17K,-0.74%
2/10/2024,323.1,324.2,325.3,319.1,321.47K,-0.25%
2/9/2024,323.9,319.2,326,318,739.40K,1.57%
2/8/2024,318.9,307.5,320.5,307.5,921.45K,3.74%
2/7/2024,307.4,302.8,308.7,300.8,351.62K,1.52%
2/6/2024,302.8,301.2,303.7,300.9,260.76K,0.53%
2/5/2024,301.2,304.7,306.8,299.7,488.80K,-1.12%
2/4/2024,304.6,299.7,307.7,298,503.35K,1.67%
2/3/2024,299.6,301.4,303.7,299.6,198.99K,-0.60%
2/2/2024,301.4,300.2,304.9,299.9,309.49K,0.43%
2/1/2024,300.1,300.6,302.1,296.6,373.29K,-0.13%
1/31/2024,300.5,307.8,308,298.9,459.02K,-2.34%
1/30/2024,307.7,310.8,313.1,306.5,386.33K,-0.97%
1/29/2024,310.7,305.2,310.9,304.4,442.80K,1.77%
1/28/2024,305.3,305.6,308.9,303.2,409.42K,-0.13%
1/27/2024,305.7,302.2,307.5,301.9,285.52K,1.12%
1/26/2024,302.3,292.1,304.1,290.8,709.82K,3.60%
1/25/2024,291.8,293,296.3,287.6,1.00M,-0.44%
