Date,Price,Open,High,Low,Vol.,Change %
6/1/2024,"67,768.50","67,564.80","67,868.20","67,470.70",8.84K,0.33%
5/31/2024,"67,548.00","68,366.40","69,010.00","66,692.00",26.69K,-1.18%
5/30/2024,"68,352.20","67,652.70","69,500.00","67,141.80",28.48K,1.03%
5/29/2024,"67,652.40","68,425.10","68,914.00","67,150.00",23.16K,-1.06%
5/28/2024,"68,374.00","69,420.00","69,570.00","67,294.30",32.62K,-1.54%
5/27/2024,"69,440.00","68,523.90","70,635.20","68,280.00",23.14K,1.34%
5/26/2024,"68,520.10","69,310.70","69,488.00","68,298.00",11.88K,-1.10%
5/25/2024,"69,284.40","68,575.90","69,544.40","68,517.20",12.13K,1.07%
5/24/2024,"68,550.00","67,903.80","69,242.90","66,680.60",28.10K,0.82%
5/23/2024,"67,990.00","69,198.20","70,061.00","66,526.00",40.51K,-1.70%
5/22/2024,"69,166.60","70,166.00","70,582.70","69,035.60",27.68K,-1.39%
5/21/2024,"70,138.10","71,483.50","71,854.80","69,182.20",49.66K,-1.82%
5/20/2024,"71,434.70","66,271.90","71,490.80","66,060.30",50.79K,7.77%
5/19/2024,"66,282.80","66,966.70","67,660.40","65,960.90",18.02K,-0.95%
5/18/2024,"66,915.20","66,938.00","67,354.20","66,613.60",14.44K,-0.17%
5/17/2024,"67,030.00","65,244.30","67,411.90","65,115.10",26.29K,2.77%
5/16/2024,"65,222.00","66,264.00","66,637.60","64,624.00",31.11K,-1.49%
5/15/2024,"66,206.50","61,558.70","66,414.50","61,357.60",43.56K,7.52%
5/14/2024,"61,577.50","62,933.40","63,106.00","61,162.60",29.09K,-2.16%
5/13/2024,"62,940.10","61,535.40","63,432.00","60,782.20",32.73K,2.37%
5/12/2024,"61,484.00","60,818.00","61,847.30","60,650.00",12.75K,1.08%
5/11/2024,"60,826.00","60,816.00","61,494.00","60,487.10",13.37K,0.04%
5/10/2024,"60,800.00","63,088.00","63,444.00","60,247.90",36.53K,-3.61%
5/9/2024,"63,074.00","61,145.30","63,424.00","60,663.90",30.66K,3.03%
5/8/2024,"61,217.40","62,312.10","63,000.00","60,900.00",26.12K,-1.77%
5/7/2024,"62,320.10","63,165.20","64,359.80","62,290.00",25.60K,-1.33%
5/6/2024,"63,162.00","64,019.90","65,440.00","62,720.10",34.68K,-1.30%
5/5/2024,"63,991.10","63,892.00","64,574.00","62,919.60",18.54K,0.18%
5/4/2024,"63,878.00","62,882.00","64,410.00","62,592.30",24.37K,1.62%
5/3/2024,"62,858.00","59,061.80","63,291.60","58,826.00",43.62K,6.33%
5/2/2024,"59,118.70","58,405.40","59,553.40","56,992.10",47.91K,1.31%
5/1/2024,"58,351.70","60,710.00","60,834.00","56,630.00",81.05K,-3.84%
4/30/2024,"60,679.50","63,826.00","64,700.00","59,276.80",54.95K,-4.97%
4/29/2024,"63,852.00","63,083.50","64,200.40","61,834.00",28.15K,1.18%
4/28/2024,"63,109.60","63,480.00","64,348.00","62,836.00",16.95K,-0.56%
4/27/2024,"63,462.00","63,779.30","63,916.00","62,484.90",20.93K,-0.48%
4/26/2024,"63,770.00","64,537.50","64,760.00","63,354.00",27.09K,-1.13%
4/25/2024,"64,498.30","64,265.90","65,234.60","62,926.00",31.34K,0.31%
4/24/2024,"64,300.00","66,390.00","67,058.00","63,606.10",33.60K,-3.18%
4/23/2024,"66,414.00","66,799.10","67,174.00","65,832.10",22.60K,-0.61%
4/22/2024,"66,822.20","64,915.90","67,188.40","64,522.00",31.40K,2.90%
4/21/2024,"64,936.30","64,932.80","65,664.00","64,280.00",19.32K,-0.04%
4/20/2024,"64,962.00","63,810.80","65,362.30","63,106.00",23.14K,1.79%
4/19/2024,"63,818.00","63,416.00","65,429.90","59,739.00",69.77K,0.55%
4/18/2024,"63,470.10","61,259.50","64,048.20","60,804.00",43.60K,3.57%
4/17/2024,"61,280.00","63,798.40","64,445.10","59,854.90",50.64K,-3.94%
4/16/2024,"63,793.40","63,369.60","64,247.00","61,709.20",53.41K,0.62%
4/15/2024,"63,400.00","65,599.60","66,785.10","62,412.30",52.40K,-3.47%
4/14/2024,"65,680.90","63,866.40","65,737.70","62,173.50",61.62K,2.76%
4/13/2024,"63,916.70","67,048.00","67,922.10","60,725.40",71.39K,-4.77%
4/12/2024,"67,120.90","70,004.90","71,224.00","65,771.90",56.07K,-4.13%
4/11/2024,"70,010.90","70,604.00","71,256.30","69,581.20",31.92K,-0.88%
4/10/2024,"70,631.10","69,139.70","71,089.20","67,608.30",42.01K,2.13%
4/9/2024,"69,156.00","71,620.00","71,736.60","68,224.80",39.30K,-3.44%
4/8/2024,"71,623.30","69,359.90","72,740.00","69,095.80",45.71K,3.26%
4/7/2024,"69,360.40","68,896.00","70,290.00","68,854.30",21.54K,0.68%
4/6/2024,"68,889.30","67,857.10","69,658.00","67,458.00",20.13K,1.58%
4/5/2024,"67,820.60","68,487.40","68,684.00","66,007.90",37.92K,-0.97%
4/4/2024,"68,487.40","65,942.90","69,180.10","65,091.80",41.50K,3.83%
4/3/2024,"65,963.30","65,437.40","66,812.00","64,558.50",39.89K,0.82%
4/2/2024,"65,425.40","69,671.80","69,671.80","64,630.10",71.81K,-6.08%
4/1/2024,"69,657.40","71,281.30","71,281.30","68,188.00",41.45K,-2.39%
3/31/2024,"71,360.00","69,578.60","71,360.00","69,578.60",19.37K,2.51%
3/30/2024,"69,615.00","69,868.20","70,315.80","69,562.50",13.63K,-0.37%
3/29/2024,"69,874.70","70,750.20","70,905.80","69,111.10",25.46K,-1.24%
3/28/2024,"70,752.40","69,442.90","71,538.00","68,985.10",35.44K,1.90%
3/27/2024,"69,430.90","69,999.70","71,622.20","68,445.50",49.12K,-0.82%
3/26/2024,"70,004.40","69,929.10","71,489.40","69,317.40",38.93K,0.16%
3/25/2024,"69,890.00","67,219.50","71,094.20","66,395.10",53.44K,3.96%
3/24/2024,"67,230.00","63,971.10","67,572.80","63,806.00",31.39K,4.99%
3/23/2024,"64,036.50","63,750.00","65,964.90","63,093.00",26.42K,0.41%
3/22/2024,"63,774.00","65,496.00","66,639.80","62,327.40",51.47K,-2.64%
3/21/2024,"65,501.30","67,864.00","68,155.60","64,621.60",53.36K,-3.46%
3/20/2024,"67,848.00","61,868.00","68,021.60","60,844.50",90.42K,9.33%
3/19/2024,"62,057.70","67,567.70","68,097.00","61,564.00",101.00K,-8.19%
3/18/2024,"67,596.00","68,350.00","68,931.00","66,600.00",55.69K,-1.17%
3/17/2024,"68,393.50","65,496.00","68,866.00","64,608.00",49.74K,4.70%
3/16/2024,"65,323.90","69,500.00","70,040.00","65,008.30",55.93K,-5.98%
3/15/2024,"69,475.60","71,428.50","72,407.30","65,835.30",103.33K,-2.68%
3/14/2024,"71,390.20","73,061.10","73,721.10","68,662.80",71.75K,-2.29%
3/13/2024,"73,060.80","71,476.00","73,605.50","71,346.60",52.66K,2.21%
3/12/2024,"71,478.60","72,078.10","72,905.70","68,910.40",68.79K,-0.86%
3/11/2024,"72,101.10","68,947.10","72,743.00","67,440.40",75.28K,4.57%
3/10/2024,"68,949.80","68,340.80","69,880.00","68,131.20",38.41K,0.92%
3/9/2024,"68,321.00","68,128.00","68,537.90","67,877.20",19.88K,0.28%
3/8/2024,"68,130.10","66,798.00","69,804.00","66,146.00",74.26K,1.96%
3/7/2024,"66,823.20","66,066.50","67,956.00","65,569.80",53.07K,1.16%
3/6/2024,"66,057.30","63,781.10","67,603.20","62,823.20",78.76K,3.54%
3/5/2024,"63,798.00","68,147.90","68,990.00","60,000.80",132.71K,-6.51%
3/4/2024,"68,238.00","63,086.60","68,492.00","62,805.80",84.83K,8.10%
