Date,Price,Open,High,Low,Vol.,Change %
6/1/2024,"3,815.93","3,765.83","3,832.37","3,753.29",132.67K,1.42%
5/31/2024,"3,762.59","3,748.31","3,845.00","3,724.51",273.40K,0.39%
5/30/2024,"3,747.91","3,767.15","3,824.91","3,703.70",277.03K,-0.58%
5/29/2024,"3,769.65","3,847.76","3,886.39","3,745.70",334.76K,-1.97%
5/28/2024,"3,845.56","3,894.21","3,929.20","3,775.00",416.24K,-1.25%
5/27/2024,"3,894.21","3,826.84","3,975.99","3,824.23",363.80K,1.79%
5/26/2024,"3,825.90","3,749.15","3,881.59","3,733.80",291.93K,2.04%
5/25/2024,"3,749.26","3,728.90","3,776.60","3,709.61",158.71K,0.56%
5/24/2024,"3,728.27","3,780.71","3,829.20","3,635.24",479.42K,-1.51%
5/23/2024,"3,785.60","3,744.17","3,941.40","3,645.94",1.13M,1.24%
5/22/2024,"3,739.09","3,789.99","3,810.52","3,654.56",575.16K,-1.36%
5/21/2024,"3,790.49","3,671.75","3,832.99","3,630.79",952.23K,3.53%
5/20/2024,"3,661.15","3,071.09","3,679.31","3,048.29",847.07K,19.18%
5/19/2024,"3,072.06","3,125.06","3,135.98","3,058.30",165.67K,-1.63%
5/18/2024,"3,122.86","3,087.66","3,145.53","3,084.69",200.01K,1.00%
5/17/2024,"3,092.01","2,944.68","3,116.53","2,933.34",357.72K,4.99%
5/16/2024,"2,944.95","3,032.56","3,040.59","2,924.15",294.01K,-2.96%
5/15/2024,"3,034.71","2,883.59","3,041.10","2,864.41",350.18K,5.30%
5/14/2024,"2,881.94","2,950.60","2,958.88","2,866.01",269.68K,-2.34%
5/13/2024,"2,951.04","2,931.39","2,993.14","2,864.98",368.66K,0.74%
5/12/2024,"2,929.29","2,911.66","2,953.85","2,903.15",107.67K,0.58%
5/11/2024,"2,912.45","2,909.81","2,943.25","2,889.45",138.19K,0.09%
5/10/2024,"2,909.81","3,037.21","3,052.88","2,882.69",327.84K,-4.16%
5/9/2024,"3,036.24","2,975.73","3,057.01","2,953.13",238.56K,2.07%
5/8/2024,"2,974.81","3,004.35","3,036.70","2,941.75",266.94K,-1.05%
5/7/2024,"3,006.38","3,063.26","3,128.24","3,004.00",298.80K,-1.81%
5/6/2024,"3,061.76","3,136.64","3,219.97","3,048.60",355.13K,-2.38%
5/5/2024,"3,136.30","3,117.12","3,170.61","3,074.45",218.78K,0.61%
5/4/2024,"3,117.21","3,102.98","3,166.10","3,095.38",196.27K,0.49%
5/3/2024,"3,102.14","2,986.59","3,125.61","2,958.96",355.93K,3.85%
5/2/2024,"2,987.02","2,974.37","3,014.49","2,896.96",365.92K,0.47%
5/1/2024,"2,973.10","3,015.52","3,023.04","2,818.96",624.90K,-1.37%
4/30/2024,"3,014.35","3,216.80","3,250.41","2,927.97",561.72K,-6.28%
4/29/2024,"3,216.25","3,263.61","3,286.73","3,119.53",421.86K,-1.39%
4/28/2024,"3,261.64","3,258.60","3,347.40","3,250.61",304.75K,0.19%
4/27/2024,"3,255.55","3,131.39","3,282.99","3,073.92",323.81K,3.98%
4/26/2024,"3,130.86","3,157.93","3,165.84","3,104.75",252.54K,-0.79%
4/25/2024,"3,155.80","3,140.40","3,189.02","3,078.60",352.28K,0.47%
4/24/2024,"3,141.01","3,218.80","3,292.33","3,112.07",393.27K,-2.46%
4/23/2024,"3,220.10","3,198.09","3,262.50","3,153.79",253.99K,0.62%
4/22/2024,"3,200.20","3,146.95","3,233.81","3,130.19",290.88K,1.66%
4/21/2024,"3,147.81","3,156.13","3,195.40","3,116.79",219.97K,-0.28%
4/20/2024,"3,156.64","3,056.30","3,168.88","3,020.78",242.56K,3.28%
4/19/2024,"3,056.46","3,062.19","3,122.38","2,872.01",607.89K,-0.26%
4/18/2024,"3,064.43","2,985.71","3,089.60","2,955.25",389.02K,2.63%
4/17/2024,"2,985.80","3,084.00","3,123.75","2,917.57",491.77K,-3.17%
4/16/2024,"3,083.39","3,098.14","3,124.97","2,998.02",526.13K,-0.56%
4/15/2024,"3,100.80","3,144.77","3,272.89","3,030.63",605.44K,-1.64%
4/14/2024,"3,152.35","3,005.75","3,168.41","2,914.00",739.18K,4.94%
4/13/2024,"3,004.06","3,237.14","3,296.56","2,862.97",993.70K,-7.28%
4/12/2024,"3,240.01","3,501.41","3,551.21","3,151.00",697.17K,-7.49%
4/11/2024,"3,502.52","3,543.27","3,615.15","3,479.21",338.15K,-1.20%
4/10/2024,"3,545.11","3,502.53","3,560.00","3,419.11",389.46K,1.09%
4/9/2024,"3,507.03","3,695.39","3,723.80","3,459.95",457.55K,-5.09%
4/8/2024,"3,694.93","3,457.27","3,727.81","3,409.59",496.78K,6.97%
4/7/2024,"3,454.19","3,351.76","3,459.46","3,344.90",210.54K,3.05%
4/6/2024,"3,352.00","3,318.61","3,394.80","3,307.21",183.16K,1.03%
4/5/2024,"3,317.86","3,325.95","3,344.20","3,212.88",344.56K,-0.29%
4/4/2024,"3,327.40","3,310.84","3,435.39","3,254.39",356.33K,0.51%
4/3/2024,"3,310.63","3,278.01","3,366.80","3,203.14",410.54K,1.00%
4/2/2024,"3,278.00","3,504.41","3,505.40","3,216.53",623.21K,-6.42%
4/1/2024,"3,502.80","3,643.43","3,645.00","3,421.99",409.07K,-3.96%
3/31/2024,"3,647.07","3,505.38","3,652.88","3,505.09",243.27K,4.00%
3/30/2024,"3,506.80","3,511.54","3,564.01","3,487.64",215.98K,-0.08%
3/29/2024,"3,509.73","3,560.61","3,583.15","3,475.00",323.11K,-1.40%
3/28/2024,"3,559.40","3,500.51","3,609.71","3,470.60",404.65K,1.69%
3/27/2024,"3,500.41","3,587.95","3,661.83","3,462.43",443.21K,-2.43%
3/26/2024,"3,587.49","3,592.52","3,677.31","3,544.39",499.00K,-0.09%
3/25/2024,"3,590.81","3,456.73","3,651.20","3,421.07",548.58K,3.92%
3/24/2024,"3,455.34","3,328.55","3,469.60","3,300.71",260.94K,3.67%
3/23/2024,"3,332.90","3,333.48","3,430.00","3,275.81",323.87K,-0.04%
3/22/2024,"3,334.13","3,497.49","3,541.59","3,254.49",558.72K,-4.54%
3/21/2024,"3,492.84","3,517.79","3,582.90","3,413.53",602.75K,-0.62%
3/20/2024,"3,514.66","3,156.74","3,531.19","3,063.51",1.21M,11.05%
3/19/2024,"3,165.05","3,518.66","3,546.25","3,151.22",1.05M,-10.09%
3/18/2024,"3,520.33","3,640.38","3,641.65","3,454.80",570.90K,-3.41%
3/17/2024,"3,644.70","3,533.44","3,678.10","3,421.54",517.79K,3.43%
3/16/2024,"3,523.70","3,742.55","3,778.62","3,476.98",548.29K,-5.81%
3/15/2024,"3,741.19","3,885.84","3,931.39","3,591.16",947.59K,-3.62%
3/14/2024,"3,881.70","4,005.79","4,009.95","3,729.43",648.24K,-3.06%
3/13/2024,"4,004.35","3,982.49","4,078.63","3,936.02",482.29K,0.61%
3/12/2024,"3,979.94","4,065.39","4,091.67","3,844.53",632.80K,-2.10%
3/11/2024,"4,065.25","3,878.39","4,082.00","3,755.60",721.50K,4.82%
3/10/2024,"3,878.46","3,908.91","3,962.01","3,793.70",356.81K,-0.68%
3/9/2024,"3,905.21","3,883.87","3,941.53","3,872.94",254.82K,0.56%
3/8/2024,"3,883.29","3,868.88","3,991.96","3,825.15",646.43K,0.35%
3/7/2024,"3,869.87","3,820.12","3,933.05","3,736.25",541.01K,1.45%
3/6/2024,"3,814.40","3,557.20","3,899.99","3,503.46",969.69K,7.27%
3/5/2024,"3,555.91","3,626.55","3,820.49","3,235.32",1.39M,-1.95%
3/4/2024,"3,626.60","3,487.97","3,638.59","3,445.56",715.33K,3.95%
3/3/2024,"3,488.68","3,420.54","3,491.57","3,364.37",341.60K,1.99%
3/2/2024,"3,420.67","3,433.89","3,460.03","3,395.03",284.06K,-0.37%
3/1/2024,"3,433.54","3,342.62","3,449.64","3,339.80",412.77K,2.82%
2/29/2024,"3,339.21","3,383.20","3,520.87","3,300.32",759.82K,-1.30%
2/28/2024,"3,383.06","3,242.54","3,482.96","3,183.07",947.43K,4.34%
2/27/2024,"3,242.22","3,177.19","3,285.72","3,166.00",625.92K,2.08%
2/26/2024,"3,176.05","3,114.35","3,194.20","3,038.08",546.75K,2.04%
2/25/2024,"3,112.60","2,992.66","3,117.97","2,984.24",412.28K,4.02%
2/24/2024,"2,992.27","2,923.79","3,006.00","2,907.22",243.86K,2.40%
2/23/2024,"2,922.24","2,971.99","2,992.83","2,906.41",428.92K,-1.69%
2/22/2024,"2,972.55","2,968.58","3,031.85","2,907.22",563.65K,0.04%
2/21/2024,"2,971.31","3,015.73","3,016.96","2,871.94",595.82K,-1.47%
2/20/2024,"3,015.58","2,944.98","3,030.91","2,880.02",634.88K,2.40%
2/19/2024,"2,944.99","2,882.01","2,983.95","2,859.99",446.28K,2.25%
2/18/2024,"2,880.29","2,786.42","2,892.81","2,765.95",367.94K,3.39%
2/17/2024,"2,785.92","2,802.41","2,804.20","2,721.19",243.30K,-0.57%
2/16/2024,"2,801.80","2,823.25","2,857.01","2,759.59",378.10K,-0.74%
2/15/2024,"2,822.59","2,774.51","2,864.68","2,760.99",481.80K,1.71%
2/14/2024,"2,775.12","2,640.00","2,785.50","2,619.76",461.61K,5.12%
2/13/2024,"2,640.02","2,661.81","2,686.12","2,597.06",502.63K,-0.67%
2/12/2024,"2,657.80","2,507.30","2,663.57","2,473.52",449.27K,6.03%
2/11/2024,"2,506.63","2,500.35","2,537.77","2,493.76",219.97K,0.26%
2/10/2024,"2,500.23","2,488.13","2,515.90","2,472.91",185.11K,0.57%
2/9/2024,"2,486.15","2,420.81","2,522.91","2,419.16",492.37K,2.75%
2/8/2024,"2,419.56","2,425.67","2,461.00","2,411.97",338.17K,-0.21%
2/7/2024,"2,424.66","2,372.66","2,443.71","2,354.44",342.80K,2.19%
2/6/2024,"2,372.64","2,301.84","2,390.54","2,299.24",368.91K,3.08%
2/5/2024,"2,301.84","2,289.27","2,336.63","2,271.32",236.63K,0.53%
2/4/2024,"2,289.78","2,296.08","2,310.39","2,271.99",171.21K,-0.29%
2/3/2024,"2,296.50","2,309.33","2,329.51","2,293.07",133.28K,-0.55%
2/2/2024,"2,309.31","2,304.56","2,324.58","2,282.89",238.25K,0.22%
2/1/2024,"2,304.28","2,283.95","2,311.36","2,240.60",310.98K,0.93%
1/31/2024,"2,283.14","2,342.82","2,350.77","2,266.83",397.13K,-2.56%
1/30/2024,"2,343.10","2,317.60","2,389.17","2,298.86",372.97K,1.09%
1/29/2024,"2,317.81","2,255.22","2,320.96","2,237.67",305.41K,2.70%
1/28/2024,"2,256.91","2,267.30","2,306.41","2,240.09",209.33K,-0.49%
1/27/2024,"2,267.92","2,267.82","2,282.15","2,252.32",145.14K,0.02%
1/26/2024,"2,267.57","2,218.05","2,280.80","2,195.85",363.55K,2.25%
1/25/2024,"2,217.66","2,234.10","2,242.87","2,173.83",330.45K,-0.76%
1/24/2024,"2,234.61","2,240.68","2,264.59","2,198.93",359.97K,-0.40%
1/23/2024,"2,243.64","2,314.11","2,351.10","2,169.59",700.02K,-3.02%
1/22/2024,"2,313.60","2,458.11","2,465.94","2,304.00",526.35K,-5.84%
1/21/2024,"2,457.06","2,472.01","2,481.59","2,453.45",122.59K,-0.60%
1/20/2024,"2,472.01","2,491.63","2,491.63","2,455.00",136.60K,-0.79%
1/19/2024,"2,491.76","2,469.22","2,504.07","2,418.48",424.19K,0.89%
1/18/2024,"2,469.74","2,530.62","2,548.80","2,430.94",452.12K,-2.43%
1/17/2024,"2,531.28","2,588.49","2,592.88","2,510.00",366.32K,-2.22%
1/16/2024,"2,588.69","2,512.00","2,613.70","2,501.02",381.04K,3.06%
1/15/2024,"2,511.91","2,474.53","2,553.25","2,472.72",315.38K,1.53%
1/14/2024,"2,473.98","2,577.44","2,578.32","2,470.21",306.01K,-4.05%
1/13/2024,"2,578.39","2,522.83","2,589.99","2,498.42",422.13K,2.15%
1/12/2024,"2,524.03","2,620.13","2,712.82","2,463.16",887.37K,-3.59%
